doc_id,zitiert
1000012,1
1000029,1
1000030,1
1000062,1
1000063,1
10000921,1
1000098,1
1000099,1
10001166,1
10001176,1
10001524,1
1000158,1
1000163,1
1000164,1
1000198,1
10003337,1
100047217,1
10009266,1
100094282,1
100094283,1
100095177,1
100095178,1
100100995,1
100105270,1
1001222,1
1001223,1
100339474,1
10039,1
10040922,1
10047021,1
10051781,1
10054018,1
1005534,1
10057656,1
10077927,1
10078385,1
10082509,1
10088643,1
100958556,1
1009983,1
10100,1
10100137,1
10101933,1
10102133,1
10102134,1
10102471,1
10106,1
101064497,1
10107,1
10108072,1
10111243,1
10111531,1
10113110,1
10113425,1
10115229,1
10115461,1
10116627,1
10120,1
10122514,1
101237860,1
10125204,1
10126173,1
10126236,1
10126287,1
10126288,1
10126302,1
10126303,1
10126332,1
10126429,1
10126430,1
10126679,1
10126865,1
10126897,1
10126900,1
10126979,1
10126980,1
10126993,1
10126994,1
10127179,1
10127180,1
10127492,1
10127528,1
10127607,1
10127608,1
10127614,1
10127615,1
10127630,1
10127638,1
10127675,1
10127676,1
10127714,1
10127726,1
10127761,1
10127785,1
10127822,1
10127823,1
10127826,1
10127827,1
10127828,1
10127829,1
10127878,1
10127903,1
10127914,1
10127930,1
10127981,1
10127982,1
10128056,1
10128096,1
10128097,1
10128132,1
10128190,1
10128191,1
10128192,1
10128258,1
10128360,1
10128408,1
10128440,1
10128441,1
10128462,1
10128463,1
10128505,1
10128506,1
10128537,1
10128539,1
10128548,1
10128549,1
10128578,1
10128583,1
10128627,1
10128628,1
10128651,1
10128652,1
10128668,1
10128669,1
10128690,1
10128716,1
10128728,1
10128736,1
10128737,1
10128752,1
10128758,1
10128796,1
10128802,1
10128853,1
10128854,1
10128874,1
10128875,1
10128901,1
10128937,1
10128958,1
10128959,1
10129012,1
10129013,1
10129032,1
10129033,1
10129036,1
10129070,1
10129072,1
10129073,1
10129075,1
10129076,1
10129077,1
10129143,1
10129182,1
10129183,1
10129202,1
10129204,1
10129210,1
10129216,1
10129241,1
10129270,1
10129271,1
10129306,1
10129307,1
10129357,1
10129358,1
10129427,1
10129438,1
10129439,1
10129463,1
10129472,1
10129473,1
10129502,1
10129779,1
10129780,1
10129802,1
10129803,1
10129934,1
10129935,1
10130000,1
10130113,1
10130115,1
10130144,1
10130149,1
10130150,1
10130158,1
10130256,1
10130257,1
10130303,1
101364220,1
10140598,1
10141316,1
10141643,1
10141834,1
10142029,1
10142435,1
10143645,1
10145791,1
10147171,1
1014826,1
1014827,1
101501341,1
1015587,1
10156016,1
1015810,1
1015811,1
10158642,1
10158658,1
10158858,1
10161526,1
10162575,1
10162756,1
10162757,1
10162835,1
10163152,1
1016612,1
101693563,1
10170733,1
10173,1
101735647,1
101736406,1
1017532,1
1017533,1
10179805,1
101807638,1
101914247,1
101917936,1
1020952,1
1020953,1
10210,1
10211,1
1021934,1
1021935,1
102195950,1
102195951,1
1022060,1
1022061,1
102276762,1
102374889,1
10238241,1
10244,1
10247872,1
10248147,1
10248167,1
10248248,1
10248249,1
10254335,1
10255191,1
10255268,1
10256447,1
10256452,1
102581352,1
102583839,1
102586263,1
10260205,1
10264242,1
102650802,1
102666633,1
10268691,1
10268697,1
10268997,1
10269093,1
102740471,1
10275090,1
10275581,1
10275582,1
10275600,1
10275625,1
10275647,1
10275665,1
10275961,1
10276099,1
10276118,1
10276292,1
10276389,1
10276390,1
10276686,1
10276993,1
10281420,1
10281670,1
10281855,1
10282788,1
10282798,1
10283243,1
10288489,1
10288793,1
10289207,1
10290050,1
10290160,1
10290578,1
10290674,1
10290685,1
10290686,1
10290907,1
10290950,1
102956545,1
10296261,1
10296322,1
10296323,1
10296385,1
10296413,1
10296471,1
10296630,1
10296657,1
10296703,1
10296775,1
10296838,1
10296873,1
10297187,1
10297547,1
10297702,1
10302385,1
103025899,1
103033088,1
10303963,1
10304339,1
10304368,1
10305613,1
103068763,1
10308846,1
10309681,1
10315043,1
10315206,1
10315228,1
10315289,1
10315436,1
10315520,1
10315828,1
10315928,1
10315960,1
10316074,1
10321313,1
1032195,1
1032196,1
103247614,1
103247615,1
103267150,1
10326790,1
10327264,1
1033454,1
1033455,1
10338877,1
10339077,1
10339101,1
10339106,1
10339124,1
10339191,1
10339234,1
10339240,1
103392594,1
10339317,1
10339417,1
10339698,1
10339737,1
10339815,1
10339937,1
10339963,1
10339968,1
10340132,1
10341703,1
103438467,1
10345655,1
10345775,1
10345907,1
10345945,1
10346149,1
10346155,1
10346295,1
10346296,1
10346297,1
10346303,1
10346361,1
10346374,1
1034810,1
1034811,1
10351411,1
10351412,1
10351649,1
10351675,1
10351727,1
10351778,1
10351804,1
10351818,1
10351854,1
10351940,1
10351941,1
10351979,1
10351998,1
1035341,1
1035342,1
1035374,1
1035375,1
10354105,1
10356902,1
10356963,1
10357017,1
10357024,1
10357034,1
10357059,1
10357060,1
10357370,1
10357371,1
10357637,1
10357642,1
10357651,1
10357653,1
10357702,1
10357744,1
10357805,1
10357832,1
10357855,1
10357856,1
10357868,1
10357906,1
10357911,1
10357917,1
10357942,1
10358224,1
10358408,1
103586984,1
10363061,1
10364565,1
10364617,1
103646304,1
10364637,1
10364777,1
10364781,1
10364901,1
10364994,1
10364999,1
10365001,1
10365002,1
10365055,1
10365217,1
10365225,1
10365293,1
10365435,1
10365445,1
10365513,1
10365516,1
10365521,1
10365685,1
10365686,1
10369744,1
10371527,1
10371710,1
10371918,1
10371933,1
10372604,1
10372725,1
10372756,1
10372786,1
10372837,1
10372910,1
10372928,1
10373495,1
10379824,1
10380291,1
10380446,1
10380448,1
103807194,1
103808157,1
10380831,1
103809183,1
103809184,1
103809498,1
10381543,1
10382,1
10383,1
10387,1
10388,1
10388046,1
10388049,1
10388402,1
10388408,1
10396171,1
10411,1
10411608,1
10414,1
104146035,1
104146288,1
104149786,1
10419194,1
10419347,1
104239781,1
104254806,1
10425575,1
104259442,1
10427435,1
10427452,1
10427456,1
10427493,1
10427526,1
104307238,1
104315173,1
1043387,1
10436030,1
10436915,1
10437161,1
10437255,1
10438677,1
1044247,1
1044248,1
104433242,1
104441658,1
1044427,1
1044481,1
10447756,1
10447952,1
10448023,1
10448039,1
10448240,1
10451177,1
104681359,1
10471,1
1048496,1
1048497,1
10491,1
1050463,1
10512,1
1051366,1
10514,1
10519615,1
10523189,1
1052365,1
1052366,1
10536130,1
10537513,1
10537633,1
10539167,1
10540857,1
10540898,1
10541623,1
10541960,1
10543984,1
10543985,1
10543990,1
10543991,1
10544211,1
10546,1
10547,1
10551571,1
10555587,1
10557657,1
10562067,1
1056212,1
1056262,1
1056263,1
10562674,1
10562687,1
10562688,1
10565687,1
10567,1
10567195,1
10568,1
105749487,1
1057884,1
105790788,1
105813206,1
1058251,1
1058296,1
1058297,1
1058320,1
1058321,1
105839425,1
105839434,1
105839469,1
105839863,1
1058428,1
1058724,1
1058725,1
1059039,1
1059137,1
10595,1
1059610,1
106015792,1
1060191,1
106021400,1
106024465,1
106024466,1
106066961,1
10609,1
106258580,1
106269599,1
10633923,1
10634763,1
1065090,1
1065091,1
1065136,1
1065137,1
1065275,1
106564697,1
1066068,1
1066069,1
10666342,1
10675813,1
10675814,1
10675818,1
10675827,1
10675830,1
10675862,1
10675888,1
10675891,1
10675896,1
10675913,1
10675914,1
10676248,1
10676262,1
10676927,1
10678635,1
10679917,1
10681129,1
10681595,1
10683683,1
10684697,1
10684704,1
10684705,1
10684710,1
10684898,1
10685232,1
10685485,1
10685981,1
10686108,1
1068680,1
10689569,1
10689970,1
106900816,1
106900895,1
106900896,1
1069157,1
10709835,1
10710005,1
10710057,1
10710058,1
10710078,1
10710180,1
10710690,1
10712486,1
10712487,1
10717285,1
107183363,1
107190054,1
107199978,1
107207383,1
107207384,1
107210937,1
107214174,1
10722147,1
10722169,1
10722170,1
10722192,1
10722212,1
10722220,1
10722350,1
10722351,1
10722394,1
10722395,1
10722396,1
10722397,1
10722410,1
10722416,1
10722417,1
10722447,1
10722448,1
10722456,1
10723322,1
10723323,1
10723589,1
10723599,1
10724439,1
107256337,1
107259062,1
107260837,1
10726367,1
10726370,1
10726377,1
10726380,1
1072667,1
107270418,1
107270480,1
107291256,1
107335855,1
107344670,1
107345025,1
